rpm,load,target_afr,trim_percent
0,0.00,14.700,0.000
0,0.05,14.700,0.000
0,0.10,14.567,0.000
0,0.15,14.433,0.000
0,0.20,14.300,0.000
0,0.25,14.200,0.000
0,0.30,14.100,0.000
0,0.35,14.000,0.000
0,0.40,13.900,0.000
0,0.45,13.800,0.000
0,0.50,13.700,0.000
0,0.55,13.600,0.000
0,0.60,13.500,0.000
0,0.65,13.400,0.000
0,0.70,13.300,0.000
0,0.75,13.200,0.000
0,0.80,13.100,0.000
0,0.85,13.000,0.000
0,0.90,12.900,0.000
0,0.95,12.800,0.000
0,1.00,12.700,0.000
200,0.00,14.693,0.000
200,0.05,14.693,0.000
200,0.10,14.560,0.000
200,0.15,14.426,0.000
200,0.20,14.293,0.000
200,0.25,14.193,0.000
200,0.30,14.093,0.000
200,0.35,13.993,0.000
200,0.40,13.893,0.000
200,0.45,13.793,0.000
200,0.50,13.693,0.000
200,0.55,13.593,0.000
200,0.60,13.493,0.000
200,0.65,13.393,0.000
200,0.70,13.293,0.000
200,0.75,13.193,0.000
200,0.80,13.093,0.000
200,0.85,12.993,0.000
200,0.90,12.893,0.000
200,0.95,12.793,0.000
200,1.00,12.693,0.000
400,0.00,14.685,0.000
400,0.05,14.685,0.000
400,0.10,14.552,0.000
400,0.15,14.418,0.000
400,0.20,14.285,0.000
400,0.25,14.185,0.000
400,0.30,14.085,0.000
400,0.35,13.985,0.000
400,0.40,13.885,0.000
400,0.45,13.785,0.000
400,0.50,13.685,0.000
400,0.55,13.585,0.000
400,0.60,13.485,0.000
400,0.65,13.385,0.000
400,0.70,13.285,0.000
400,0.75,13.185,0.000
400,0.80,13.085,0.000
400,0.85,12.985,0.000
400,0.90,12.885,0.000
400,0.95,12.785,0.000
400,1.00,12.685,0.000
600,0.00,14.678,0.000
600,0.05,14.678,0.000
600,0.10,14.545,0.000
600,0.15,14.411,0.000
600,0.20,14.278,0.000
600,0.25,14.178,0.000
600,0.30,14.078,0.000
600,0.35,13.978,0.000
600,0.40,13.878,0.000
600,0.45,13.778,0.000
600,0.50,13.678,0.000
600,0.55,13.578,0.000
600,0.60,13.478,0.000
600,0.65,13.378,0.000
600,0.70,13.278,0.000
600,0.75,13.178,0.000
600,0.80,13.078,0.000
600,0.85,12.978,0.000
600,0.90,12.878,0.000
600,0.95,12.778,0.000
600,1.00,12.678,0.000
800,0.00,14.670,0.000
800,0.05,14.670,0.000
800,0.10,14.537,0.000
800,0.15,14.403,0.000
800,0.20,14.270,0.000
800,0.25,14.170,0.000
800,0.30,14.070,0.000
800,0.35,13.970,0.000
800,0.40,13.870,0.000
800,0.45,13.770,0.000
800,0.50,13.670,0.000
800,0.55,13.570,0.000
800,0.60,13.470,0.000
800,0.65,13.370,0.000
800,0.70,13.270,0.000
800,0.75,13.170,0.000
800,0.80,13.070,0.000
800,0.85,12.970,0.000
800,0.90,12.870,0.000
800,0.95,12.770,0.000
800,1.00,12.670,0.000
1000,0.00,14.663,0.000
1000,0.05,14.663,0.000
1000,0.10,14.530,0.000
1000,0.15,14.396,0.000
1000,0.20,14.263,0.000
1000,0.25,14.163,0.000
1000,0.30,14.063,0.000
1000,0.35,13.963,0.000
1000,0.40,13.863,0.000
1000,0.45,13.763,0.000
1000,0.50,13.663,0.000
1000,0.55,13.563,0.000
1000,0.60,13.463,0.000
1000,0.65,13.363,0.000
1000,0.70,13.263,0.000
1000,0.75,13.163,0.000
1000,0.80,13.063,0.000
1000,0.85,12.963,0.000
1000,0.90,12.863,0.000
1000,0.95,12.763,0.000
1000,1.00,12.663,0.000
1200,0.00,14.655,0.000
1200,0.05,14.655,0.000
1200,0.10,14.522,0.000
1200,0.15,14.388,0.000
1200,0.20,14.255,0.000
1200,0.25,14.155,0.000
1200,0.30,14.055,0.000
1200,0.35,13.955,0.000
1200,0.40,13.855,0.000
1200,0.45,13.755,0.000
1200,0.50,13.655,0.000
1200,0.55,13.555,0.000
1200,0.60,13.455,0.000
1200,0.65,13.355,0.000
1200,0.70,13.255,0.000
1200,0.75,13.155,0.000
1200,0.80,13.055,0.000
1200,0.85,12.955,0.000
1200,0.90,12.855,0.000
1200,0.95,12.755,0.000
1200,1.00,12.655,0.000
1400,0.00,14.648,0.000
1400,0.05,14.648,0.000
1400,0.10,14.515,0.000
1400,0.15,14.381,0.000
1400,0.20,14.248,0.000
1400,0.25,14.148,0.000
1400,0.30,14.048,0.000
1400,0.35,13.948,0.000
1400,0.40,13.848,0.000
1400,0.45,13.748,0.000
1400,0.50,13.648,0.000
1400,0.55,13.548,0.000
1400,0.60,13.448,0.000
1400,0.65,13.348,0.000
1400,0.70,13.248,0.000
1400,0.75,13.148,0.000
1400,0.80,13.048,0.000
1400,0.85,12.948,0.000
1400,0.90,12.848,0.000
1400,0.95,12.748,0.000
1400,1.00,12.648,0.000
1600,0.00,14.640,0.000
1600,0.05,14.640,0.000
1600,0.10,14.507,0.000
1600,0.15,14.373,0.000
1600,0.20,14.240,0.000
1600,0.25,14.140,0.000
1600,0.30,14.040,0.000
1600,0.35,13.940,0.000
1600,0.40,13.840,0.000
1600,0.45,13.740,0.000
1600,0.50,13.640,0.000
1600,0.55,13.540,0.000
1600,0.60,13.440,0.000
1600,0.65,13.340,0.000
1600,0.70,13.240,0.000
1600,0.75,13.140,0.000
1600,0.80,13.040,0.000
1600,0.85,12.940,0.000
1600,0.90,12.840,0.000
1600,0.95,12.740,0.000
1600,1.00,12.640,0.000
1800,0.00,14.633,0.000
1800,0.05,14.633,0.000
1800,0.10,14.500,0.000
1800,0.15,14.366,0.000
1800,0.20,14.233,0.000
1800,0.25,14.133,0.000
1800,0.30,14.033,0.000
1800,0.35,13.933,0.000
1800,0.40,13.833,0.000
1800,0.45,13.733,0.000
1800,0.50,13.633,0.000
1800,0.55,13.533,0.000
1800,0.60,13.433,0.000
1800,0.65,13.333,0.000
1800,0.70,13.233,0.000
1800,0.75,13.133,0.000
1800,0.80,13.033,0.000
1800,0.85,12.933,0.000
1800,0.90,12.833,0.000
1800,0.95,12.733,0.000
1800,1.00,12.633,0.000
2000,0.00,14.625,0.000
2000,0.05,14.625,0.000
2000,0.10,14.492,0.000
